1	ताजा	_	PRON	_	_	9	nsubj	_	_
2	साँसें	_	NOUN	_	_	9	nmod	_	_
3	और	_	ADP	_	_	2	case	_	_
4	चमचमाते	_	NOUN	_	_	9	nsubj	_	_
5	दाँत	_	NOUN	_	_	4	case	_	_
6	आपके	_	NOUN	_	_	7	compound	_	_
7	व्यक्तित्व	_	NOUN	_	_	9	nmod	_	_
8	को	_	ADP	_	_	7	case	_	_
9	निखारते	_	NOUN	_	_	0	root	_	_
10	हैं	_	AUX	_	_	9	cop	_	_
11	।	_	PUNCT	_	_	9	punct	_	_

1	दाँतों	_	PROPN	_	_	4	nmod	_	_
2	से	_	ADP	_	_	1	case	_	_
3	आपका	_	DET	_	_	4	compound	_	_
4	आत्मविश्‍वास	_	NOUN	_	_	6	nmod	_	_
5	भी	_	ADP	_	_	4	case	_	_
6	बढ़ता	_	VERB	_	_	0	root	_	_
7	है	_	AUX	_	_	6	cop	_	_
8	।	_	PUNCT	_	_	6	punct	_	_

1	हमारे	_	PRON	_	_	2	nmod	_	_
2	मसूढ़ों	_	NOUN	_	_	4	nmod	_	_
3	और	_	ADP	_	_	2	case	_	_
4	दाँतों	_	NOUN	_	_	9	obl	_	_
5	के	_	ADP	_	_	4	case	_	_
6	बीच	_	PRON	_	_	7	det	_	_
7	बैक्टीरिया	_	NOUN	_	_	8	compound	_	_
8	मौजूद	_	PART	_	_	9	advmod	_	_
9	होते	_	VERB	_	_	0	root	_	_
10	हैं	_	AUX	_	_	9	aux:pass	_	_
11	।	_	PUNCT	_	_	9	punct	_	_

1	ये	_	PRON	_	_	0	root	_	_
2	दाँतों	_	NOUN	_	_	0	root	_	_
3	को	_	ADP	_	_	2	case	_	_
4	गंदा	_	NOUN	_	_	6	nmod	_	_
5	और	_	ADP	_	_	4	case	_	_
6	साँसों	_	NOUN	_	_	8	nmod	_	_
7	को	_	ADP	_	_	6	case	_	_
8	बदबूदार	_	NOUN	_	_	0	root	_	_
9	बना	_	ADP	_	_	8	case	_	_
10	देते	_	VERB	_	_	9	aux:pass	_	_
11	हैं	_	AUX	_	_	10	aux:pass	_	_
12	।	_	PUNCT	_	_	10	punct	_	_

1	यहाँ	_	PRON	_	_	0	root	_	_
2	दिए	_	VERB	_	_	5	det	_	_
3	कुछ	_	DET	_	_	5	det	_	_
4	आसान	_	NOUN	_	_	5	det	_	_
5	नुस्खों	_	NOUN	_	_	0	root	_	_
6	की	_	ADP	_	_	5	aux:pass	_	_
7	मदद	_	AUX	_	_	6	aux:pass	_	_
8	से	_	AUX	_	_	7	aux:pass	_	_
9	आप	_	SCONJ	_	_	5	dep	_	_
10	अपने	_	PRON	_	_	9	case	_	_
11	दाँतों	_	NOUN	_	_	18	obl	_	_
12	को	_	ADP	_	_	11	case	_	_
13	स्वच्छ	_	NOUN	_	_	18	obl	_	_
14	और	_	ADP	_	_	13	case	_	_
15	साँसों	_	NOUN	_	_	17	nmod	_	_
16	को	_	ADP	_	_	15	case	_	_
17	ताजा	_	NOUN	_	_	18	compound	_	_
18	रख	_	VERB	_	_	0	root	_	_
19	सकते	_	AUX	_	_	18	aux:pass	_	_
20	हैं	_	AUX	_	_	19	aux:pass	_	_
21	।	_	PUNCT	_	_	18	punct	_	_

1	दाँतों	_	NOUN	_	_	0	root	_	_
2	को	_	ADP	_	_	1	case	_	_
3	ठीक	_	PRON	_	_	0	root	_	_
4	से	_	VERB	_	_	3	aux:pass	_	_
5	साफ	_	AUX	_	_	4	aux:pass	_	_
6	करें	_	AUX	_	_	5	aux:pass	_	_
7	।	_	PUNCT	_	_	4	punct	_	_

1	दाँतों	_	NOUN	_	_	0	root	_	_
2	को	_	ADP	_	_	1	case	_	_
3	ठीक	_	PRON	_	_	2	case	_	_
4	से	_	PART	_	_	3	aux:pass	_	_
5	साफ	_	PRON	_	_	4	aux:pass	_	_
6	करने	_	NOUN	_	_	5	aux:pass	_	_
7	में	_	PRON	_	_	6	aux:pass	_	_
8	दो	_	AUX	_	_	7	aux:pass	_	_
9	से	_	AUX	_	_	8	aux:pass	_	_
10	तीन	_	DET	_	_	11	det	_	_
11	मिनट	_	NOUN	_	_	16	compound	_	_
12	का	_	VERB	_	_	11	aux:pass	_	_
13	समय	_	AUX	_	_	12	aux:pass	_	_
14	लगता	_	AUX	_	_	13	aux:pass	_	_
15	है	_	AUX	_	_	14	aux:pass	_	_
16	।	_	PUNCT	_	_	6	punct	_	_

1	लेकिन	_	PRON	_	_	2	nmod	_	_
2	ज्यादातर	_	NOUN	_	_	0	root	_	_
3	लोग	_	ADP	_	_	2	case	_	_
4	इसके	_	NOUN	_	_	0	root	_	_
5	लिए	_	AUX	_	_	4	aux	_	_
6	एक	_	SCONJ	_	_	0	root	_	_
7	मिनट	_	NOUN	_	_	0	root	_	_
8	से	_	PART	_	_	7	dep	_	_
9	भी	_	PART	_	_	7	dep	_	_
10	कम	_	AUX	_	_	9	aux:pass	_	_
11	समय	_	VERB	_	_	7	aux:pass	_	_
12	देते	_	VERB	_	_	11	aux:pass	_	_
13	हैं	_	AUX	_	_	12	aux:pass	_	_
14	।	_	PUNCT	_	_	12	punct	_	_

1	खूब	_	PRON	_	_	2	obj	_	_
2	पानी	_	VERB	_	_	0	root	_	_
3	पीएँ	_	AUX	_	_	2	aux	_	_
4	।	_	PUNCT	_	_	3	punct	_	_

1	मुँह	_	PRON	_	_	2	compound	_	_
2	सूखने	_	NOUN	_	_	4	nmod	_	_
3	पर	_	ADP	_	_	2	case	_	_
4	बैक्टीरिया	_	NOUN	_	_	0	root	_	_
5	हमला	_	ADP	_	_	4	case	_	_
6	तेज	_	PRON	_	_	5	aux:pass	_	_
7	कर	_	VERB	_	_	6	aux:pass	_	_
8	देते	_	AUX	_	_	7	aux:pass	_	_
9	हैं	_	AUX	_	_	8	aux:pass	_	_
10	।	_	PUNCT	_	_	8	punct	_	_

1	इससे	_	PRON	_	_	0	root	_	_
2	साँसों	_	NOUN	_	_	4	nmod	_	_
3	से	_	ADP	_	_	2	case	_	_
4	बदबू	_	NOUN	_	_	0	root	_	_
5	आने	_	VERB	_	_	4	aux:pass	_	_
6	लगती	_	AUX	_	_	5	aux:pass	_	_
7	है	_	AUX	_	_	6	aux:pass	_	_
8	।	_	PUNCT	_	_	6	punct	_	_

1	खूब	_	DET	_	_	2	det	_	_
2	पानी	_	NOUN	_	_	3	compound	_	_
3	पीने	_	NOUN	_	_	0	root	_	_
4	से	_	AUX	_	_	3	cop	_	_
5	न	_	PUNCT	_	_	4	punct	_	_
6	केवल	_	PRON	_	_	7	compound	_	_
7	खाने	_	PROPN	_	_	11	nmod	_	_
8	के	_	ADP	_	_	7	case	_	_
9	बचे	_	PRON	_	_	11	case	_	_
10	-	_	PUNCT	_	_	11	punct	_	_
11	खुचे	_	NOUN	_	_	12	obj	_	_
12	टुकड़े	_	PROPN	_	_	23	advcl	_	_
13	साफ	_	ADP	_	_	23	cc	_	_
14	हो	_	PART	_	_	15	dep	_	_
15	जाते	_	VERB	_	_	23	advcl	_	_
16	हैं	_	AUX	_	_	15	aux:pass	_	_
17	,	_	PUNCT	_	_	15	punct	_	_
18	बल्कि	_	PROPN	_	_	20	obl	_	_
19	लार	_	ADP	_	_	18	case	_	_
20	भी	_	VERB	_	_	15	aux:pass	_	_
21	बनती	_	AUX	_	_	20	aux:pass	_	_
22	है	_	AUX	_	_	21	aux:pass	_	_
23	।	_	PUNCT	_	_	3	punct	_	_

1	मुँह	_	PRON	_	_	9	nsubj	_	_
2	साफ	_	PRON	_	_	3	det	_	_
3	रखने	_	NOUN	_	_	9	obl	_	_
4	में	_	PRON	_	_	3	aux:pass	_	_
5	लार	_	AUX	_	_	4	aux:pass	_	_
6	की	_	PART	_	_	5	aux:pass	_	_
7	खास	_	PRON	_	_	8	det	_	_
8	भूमिका	_	NOUN	_	_	9	nsubj	_	_
9	होती	_	VERB	_	_	0	root	_	_
10	है	_	AUX	_	_	9	aux	_	_
11	।	_	PUNCT	_	_	9	punct	_	_

1	लार	_	PRON	_	_	0	root	_	_
2	उन	_	PRON	_	_	1	case	_	_
3	बैक्टीरिया	_	PROPN	_	_	5	nmod	_	_
4	को	_	ADP	_	_	3	case	_	_
5	नष्ट	_	NOUN	_	_	0	root	_	_
6	करती	_	NOUN	_	_	5	case	_	_
7	है	_	AUX	_	_	6	dep	_	_
8	जो	_	PART	_	_	6	dep	_	_
9	साँसों	_	NOUN	_	_	12	obl	_	_
10	में	_	ADP	_	_	9	case	_	_
11	बदबू	_	NOUN	_	_	12	obj	_	_
12	पैदा	_	VERB	_	_	0	root	_	_
13	करते	_	AUX	_	_	12	aux:pass	_	_
14	हैं	_	AUX	_	_	13	aux:pass	_	_
15	।	_	PUNCT	_	_	12	punct	_	_

1	चबाएँ	_	PRON	_	_	3	nmod	_	_
2	शुगर	_	NOUN	_	_	1	case	_	_
3	रहित	_	NOUN	_	_	4	det	_	_
4	चुइंग	_	PART	_	_	0	root	_	_
5	गम	_	AUX	_	_	4	aux	_	_
6	।	_	PUNCT	_	_	4	punct	_	_

1	चुइंग	_	PRON	_	_	3	nmod	_	_
2	गम	_	ADP	_	_	1	case	_	_
3	चबाने	_	NOUN	_	_	4	compound	_	_
4	से	_	VERB	_	_	0	root	_	_
5	लार	_	PRON	_	_	4	aux:pass	_	_
6	बनती	_	AUX	_	_	5	aux:pass	_	_
7	है	_	AUX	_	_	6	aux	_	_
8	।	_	PUNCT	_	_	6	punct	_	_

1	चुइंग	_	PRON	_	_	4	nmod	_	_
2	गम	_	ADP	_	_	1	case	_	_
3	से	_	PART	_	_	1	dep	_	_
4	दाँतों	_	NOUN	_	_	0	root	_	_
5	को	_	ADP	_	_	4	case	_	_
6	साफ	_	PRON	_	_	5	case	_	_
7	रखने	_	VERB	_	_	0	root	_	_
8	में	_	AUX	_	_	7	aux:pass	_	_
9	मदद	_	PRON	_	_	8	aux:pass	_	_
10	मिलती	_	PART	_	_	7	aux:pass	_	_
11	है	_	AUX	_	_	10	cop	_	_
12	।	_	PUNCT	_	_	7	punct	_	_

1	शुगर	_	PRON	_	_	0	root	_	_
2	युक्त	_	NOUN	_	_	5	nmod	_	_
3	गम	_	ADP	_	_	2	case	_	_
4	को	_	PART	_	_	2	case	_	_
5	सेहत	_	NOUN	_	_	0	root	_	_
6	के	_	AUX	_	_	5	case	_	_
7	लिए	_	DET	_	_	5	case	_	_
8	अच्छा	_	NOUN	_	_	0	root	_	_
9	नहीं	_	NOUN	_	_	8	case	_	_
10	माना	_	VERB	_	_	9	aux:pass	_	_
11	जाता	_	AUX	_	_	10	aux:pass	_	_
12	।	_	PUNCT	_	_	10	punct	_	_

1	इसलिए	_	PRON	_	_	2	nmod	_	_
2	डेंटिस्ट	_	NOUN	_	_	4	nmod	_	_
3	शुगर	_	NOUN	_	_	2	case	_	_
4	युक्त	_	NOUN	_	_	7	nmod	_	_
5	गम	_	ADP	_	_	4	case	_	_
6	को	_	PART	_	_	4	case	_	_
7	खाने	_	NOUN	_	_	9	nmod	_	_
8	की	_	ADP	_	_	7	case	_	_
9	सलाह	_	NOUN	_	_	10	obj	_	_
10	नहीं	_	VERB	_	_	0	root	_	_
11	देते	_	AUX	_	_	10	aux:pass	_	_
12	।	_	PUNCT	_	_	10	punct	_	_

1	नियमित	_	PRON	_	_	0	root	_	_
2	रूप	_	ADP	_	_	1	case	_	_
3	से	_	SCONJ	_	_	2	dep	_	_
4	कराएँ	_	PRON	_	_	5	nmod	_	_
5	दाँतों	_	NOUN	_	_	0	root	_	_
6	की	_	VERB	_	_	5	aux:pass	_	_
7	जाँच	_	AUX	_	_	6	aux	_	_
8	।	_	PUNCT	_	_	6	punct	_	_

1	दंतचिकित्सक	_	PROPN	_	_	3	nmod	_	_
2	से	_	ADP	_	_	1	case	_	_
3	दाँतों	_	NOUN	_	_	6	nmod	_	_
4	की	_	ADP	_	_	3	case	_	_
5	जाँच	_	NOUN	_	_	6	compound	_	_
6	नियमित	_	NOUN	_	_	0	root	_	_
7	रूप	_	ADP	_	_	6	aux:pass	_	_
8	से	_	VERB	_	_	7	aux:pass	_	_
9	कराएँ	_	AUX	_	_	8	aux:pass	_	_
10	।	_	PUNCT	_	_	7	punct	_	_

1	वे	_	PRON	_	_	12	nsubj	_	_
2	दाँतों	_	PROPN	_	_	9	nmod	_	_
3	की	_	ADP	_	_	2	case	_	_
4	छोटी	_	NOUN	_	_	7	compound	_	_
5	-	_	PUNCT	_	_	4	punct	_	_
6	मोटी	_	NOUN	_	_	4	compound	_	_
7	समस्या	_	NOUN	_	_	9	nmod	_	_
8	को	_	ADP	_	_	7	case	_	_
9	आसानी	_	NOUN	_	_	12	obl	_	_
10	से	_	ADP	_	_	9	case	_	_
11	सुलझा	_	PART	_	_	12	advmod	_	_
12	देते	_	VERB	_	_	0	root	_	_
13	हैं	_	AUX	_	_	12	aux	_	_
14	।	_	PUNCT	_	_	12	punct	_	_

1	खाने	_	PRON	_	_	4	obl	_	_
2	के	_	PART	_	_	1	dep	_	_
3	बाद	_	PRON	_	_	4	obj	_	_
4	मुँह	_	VERB	_	_	0	root	_	_
5	साफ	_	AUX	_	_	4	aux:pass	_	_
6	करें	_	AUX	_	_	5	aux:pass	_	_
7	।	_	PUNCT	_	_	4	punct	_	_

1	हर	_	PRON	_	_	3	nsubj	_	_
2	बार	_	DET	_	_	3	det	_	_
3	खाने	_	NOUN	_	_	9	obl	_	_
4	के	_	AUX	_	_	3	case	_	_
5	बाद	_	DET	_	_	6	det	_	_
6	पानी	_	NOUN	_	_	8	nmod	_	_
7	से	_	ADP	_	_	6	case	_	_
8	मुँह	_	NOUN	_	_	9	compound	_	_
9	जरूर	_	VERB	_	_	0	root	_	_
10	साफ	_	AUX	_	_	9	aux:pass	_	_
11	करें	_	AUX	_	_	10	aux:pass	_	_
12	।	_	PUNCT	_	_	9	punct	_	_

1	इससे	_	PRON	_	_	4	nsubj	_	_
2	खाने	_	NOUN	_	_	4	compound	_	_
3	के	_	VERB	_	_	2	aux	_	_
4	बचे	_	AUX	_	_	0	root	_	_
5	हुए	_	PRON	_	_	6	det	_	_
6	टुकड़े	_	NOUN	_	_	0	root	_	_
7	साफ	_	ADP	_	_	6	case	_	_
8	हो	_	VERB	_	_	7	aux:pass	_	_
9	जाते	_	AUX	_	_	8	aux:pass	_	_
10	हैं	_	AUX	_	_	9	aux:pass	_	_
11	।	_	PUNCT	_	_	6	punct	_	_

1	नींबू	_	PRON	_	_	7	obl	_	_
2	और	_	ADP	_	_	1	case	_	_
3	नमक	_	PRON	_	_	1	case	_	_
4	के	_	PART	_	_	3	dep	_	_
5	मिश्रण	_	NOUN	_	_	7	obj	_	_
6	से	_	PART	_	_	5	dep	_	_
7	दाँत	_	VERB	_	_	0	root	_	_
8	साफ	_	AUX	_	_	7	aux:pass	_	_
9	करें	_	AUX	_	_	8	aux:pass	_	_
10	।	_	PUNCT	_	_	7	punct	_	_

1	एक	_	PRON	_	_	0	root	_	_
2	चम्मच	_	PRON	_	_	0	root	_	_
3	में	_	ADP	_	_	2	case	_	_
4	नमक	_	PRON	_	_	5	det	_	_
5	लेकर	_	NOUN	_	_	6	det	_	_
6	उसमें	_	PRON	_	_	0	root	_	_
7	तीन	_	ADP	_	_	6	case	_	_
8	से	_	SCONJ	_	_	6	dep	_	_
9	चार	_	DET	_	_	10	det	_	_
10	बूंदें	_	NOUN	_	_	6	case	_	_
11	नींबू	_	NOUN	_	_	12	nsubj	_	_
12	की	_	VERB	_	_	10	aux:pass	_	_
13	डाल	_	AUX	_	_	12	aux:pass	_	_
14	लें	_	AUX	_	_	13	aux:pass	_	_
15	।	_	PUNCT	_	_	12	punct	_	_

1	हर	_	PRON	_	_	7	obl	_	_
2	हफ्ते	_	NOUN	_	_	4	nmod	_	_
3	इस	_	ADP	_	_	2	case	_	_
4	मिश्रण	_	NOUN	_	_	6	nmod	_	_
5	से	_	ADP	_	_	4	case	_	_
6	दाँतों	_	NOUN	_	_	7	compound	_	_
7	को	_	VERB	_	_	0	root	_	_
8	साफ	_	AUX	_	_	7	aux:pass	_	_
9	करें	_	AUX	_	_	8	aux:pass	_	_
10	।	_	PUNCT	_	_	7	punct	_	_

1	इससे	_	NOUN	_	_	6	nsubj	_	_
2	न	_	PUNCT	_	_	1	punct	_	_
3	केवल	_	NOUN	_	_	1	compound	_	_
4	दाँत	_	NOUN	_	_	5	det	_	_
5	चमचमाने	_	NOUN	_	_	6	compound	_	_
6	लगते	_	VERB	_	_	0	root	_	_
7	हैं	_	AUX	_	_	6	aux	_	_
8	।	_	PUNCT	_	_	6	punct	_	_

1	बल्कि	_	PRON	_	_	8	nsubj	_	_
2	साँसों	_	NOUN	_	_	4	nmod	_	_
3	की	_	ADP	_	_	2	case	_	_
4	दुर्गंध	_	NOUN	_	_	7	nmod	_	_
5	से	_	ADP	_	_	4	case	_	_
6	भी	_	PART	_	_	4	dep	_	_
7	छुटकारा	_	NOUN	_	_	8	nsubj	_	_
8	मिलता	_	PART	_	_	0	root	_	_
9	है	_	AUX	_	_	8	aux	_	_
10	।	_	PUNCT	_	_	8	punct	_	_

1	सेहत	_	PRON	_	_	0	root	_	_
2	है	_	PART	_	_	1	dep	_	_
3	तो	_	PART	_	_	1	dep	_	_
4	सब	_	PRON	_	_	3	aux:pass	_	_
5	है	_	AUX	_	_	1	cop	_	_
6	।	_	PUNCT	_	_	1	punct	_	_

1	आज	_	PRON	_	_	0	root	_	_
2	की	_	PRON	_	_	3	det	_	_
3	व्यस्त	_	NOUN	_	_	4	compound	_	_
4	जिंदगी	_	NOUN	_	_	0	root	_	_
5	में	_	ADP	_	_	4	case	_	_
6	खुद	_	PRON	_	_	4	case	_	_
7	को	_	PART	_	_	4	case	_	_
8	स्वस्थ	_	NOUN	_	_	0	root	_	_
9	रखना	_	PRON	_	_	0	root	_	_
10	किसी	_	NOUN	_	_	11	obj	_	_
11	चुनौती	_	NOUN	_	_	0	root	_	_
12	से	_	PART	_	_	11	dep	_	_
13	कम	_	VERB	_	_	11	aux:pass	_	_
14	नहीं	_	AUX	_	_	13	aux:pass	_	_
15	।	_	PUNCT	_	_	11	punct	_	_

1	लेकिन	_	PRON	_	_	4	nmod	_	_
2	खान	_	PRON	_	_	4	compound	_	_
3	-	_	PUNCT	_	_	4	punct	_	_
4	पान	_	NOUN	_	_	6	nmod	_	_
5	पर	_	ADP	_	_	4	case	_	_
6	ध्यान	_	NOUN	_	_	8	nmod	_	_
7	और	_	ADP	_	_	6	case	_	_
8	जीवनशैली	_	NOUN	_	_	17	obl	_	_
9	में	_	CCONJ	_	_	12	cc	_	_
10	थोड़ा	_	NOUN	_	_	12	nmod	_	_
11	बदलाव	_	PART	_	_	12	nmod	_	_
12	लाकर	_	VERB	_	_	17	advcl	_	_
13	आप	_	AUX	_	_	12	aux	_	_
14	खुद	_	PRON	_	_	16	det	_	_
15	को	_	PART	_	_	14	dep	_	_
16	स्वस्थ	_	NOUN	_	_	17	compound	_	_
17	रख	_	VERB	_	_	0	root	_	_
18	सकते	_	AUX	_	_	17	aux:pass	_	_
19	हैं	_	AUX	_	_	18	aux:pass	_	_
20	।	_	PUNCT	_	_	17	punct	_	_

1	कम	_	PRON	_	_	5	nsubj	_	_
2	वसायुक्त	_	NOUN	_	_	3	compound	_	_
3	आहार	_	NOUN	_	_	5	obj	_	_
4	का	_	PART	_	_	3	dep	_	_
5	करें	_	VERB	_	_	0	root	_	_
6	सेवन	_	AUX	_	_	5	aux:pass	_	_
7	।	_	PUNCT	_	_	5	punct	_	_

1	खाना	_	PRON	_	_	4	nsubj	_	_
2	वही	_	DET	_	_	3	det	_	_
3	खाएँ	_	NOUN	_	_	4	det	_	_
4	जिसमें	_	NOUN	_	_	9	nsubj	_	_
5	कम	_	ADP	_	_	4	dep	_	_
6	वसा	_	PRON	_	_	4	case	_	_
7	और	_	PART	_	_	6	dep	_	_
8	फाइबर	_	PRON	_	_	9	nsubj	_	_
9	ज्यादा	_	VERB	_	_	0	root	_	_
10	हो	_	AUX	_	_	9	cop	_	_
11	।	_	PUNCT	_	_	9	punct	_	_

1	फलों	_	PRON	_	_	3	nmod	_	_
2	और	_	ADP	_	_	1	case	_	_
3	सब्जियों	_	NOUN	_	_	8	obl	_	_
4	में	_	ADP	_	_	3	case	_	_
5	ऐसा	_	PRON	_	_	8	obl	_	_
6	ही	_	PART	_	_	5	case	_	_
7	अनुपात	_	NOUN	_	_	8	nsubj	_	_
8	रहता	_	VERB	_	_	0	root	_	_
9	है	_	AUX	_	_	8	aux	_	_
10	।	_	PUNCT	_	_	8	punct	_	_

1	कम	_	PRON	_	_	0	root	_	_
2	वसा	_	PRON	_	_	4	det	_	_
3	और	_	PART	_	_	2	case	_	_
4	फाइबर	_	PRON	_	_	0	root	_	_
5	वाले	_	NOUN	_	_	4	case	_	_
6	खाने	_	NOUN	_	_	5	aux	_	_
7	से	_	AUX	_	_	6	aux	_	_
8	वजन	_	DET	_	_	9	det	_	_
9	नियंत्रित	_	NOUN	_	_	10	nsubj	_	_
10	करने	_	VERB	_	_	5	aux:pass	_	_
11	में	_	AUX	_	_	10	aux:pass	_	_
12	मदद	_	PRON	_	_	11	aux:pass	_	_
13	मिलती	_	PART	_	_	10	aux:pass	_	_
14	है	_	AUX	_	_	13	cop	_	_
15	।	_	PUNCT	_	_	13	punct	_	_

1	कम	_	PRON	_	_	0	root	_	_
2	वसा	_	PRON	_	_	0	root	_	_
3	और	_	PART	_	_	2	case	_	_
4	फाइबर	_	PRON	_	_	0	root	_	_
5	वाले	_	NOUN	_	_	4	case	_	_
6	खाने	_	NOUN	_	_	5	aux:pass	_	_
7	से	_	PART	_	_	6	aux	_	_
8	आप	_	AUX	_	_	6	cop	_	_
9	कई	_	PRON	_	_	16	mark	_	_
10	बीमारियों	_	NOUN	_	_	16	compound	_	_
11	से	_	ADP	_	_	10	case	_	_
12	भी	_	PART	_	_	10	dep	_	_
13	दूर	_	VERB	_	_	12	aux:pass	_	_
14	रहते	_	VERB	_	_	13	aux:pass	_	_
15	हैं	_	AUX	_	_	14	aux:pass	_	_
16	।	_	PUNCT	_	_	6	punct	_	_

1	नमक	_	PRON	_	_	0	root	_	_
2	और	_	PRON	_	_	0	root	_	_
3	शराब	_	PRON	_	_	5	nmod	_	_
4	का	_	PART	_	_	3	case	_	_
5	सेवन	_	NOUN	_	_	0	root	_	_
6	कम	_	VERB	_	_	5	dep	_	_
7	करें	_	AUX	_	_	6	aux:pass	_	_
8	।	_	PUNCT	_	_	6	punct	_	_

1	ब्लड	_	PRON	_	_	4	compound	_	_
2	प्रेशर	_	NOUN	_	_	4	nmod	_	_
3	और	_	ADP	_	_	2	case	_	_
4	कोलेस्ट्राल	_	PROPN	_	_	6	nmod	_	_
5	को	_	ADP	_	_	4	case	_	_
6	नियंत्रित	_	NOUN	_	_	7	amod	_	_
7	करने	_	NOUN	_	_	14	nsubj	_	_
8	के	_	VERB	_	_	7	dep	_	_
9	लिए	_	PRON	_	_	8	case	_	_
10	नमक	_	VERB	_	_	9	aux:pass	_	_
11	और	_	PART	_	_	10	dep	_	_
12	शराब	_	NOUN	_	_	14	nmod	_	_
13	का	_	PART	_	_	12	dep	_	_
14	सेवन	_	NOUN	_	_	0	root	_	_
15	कम	_	PART	_	_	14	aux	_	_
16	से	_	AUX	_	_	15	aux:pass	_	_
17	कम	_	SCONJ	_	_	0	root	_	_
18	मात्रा	_	NOUN	_	_	0	root	_	_
19	में	_	VERB	_	_	18	aux:pass	_	_
20	करें	_	AUX	_	_	19	aux:pass	_	_
21	।	_	PUNCT	_	_	19	punct	_	_

1	बंद	_	PRON	_	_	2	det	_	_
2	करें	_	NOUN	_	_	3	nsubj	_	_
3	धूम्रपान	_	VERB	_	_	0	root	_	_
4	।	_	PUNCT	_	_	3	punct	_	_

1	धूम्रपान	_	PROPN	_	_	9	nsubj	_	_
2	करने	_	NOUN	_	_	9	obj	_	_
3	से	_	ADP	_	_	2	case	_	_
4	कैंसर	_	PRON	_	_	5	nmod	_	_
5	समेत	_	NOUN	_	_	7	nmod	_	_
6	कई	_	ADP	_	_	5	case	_	_
7	बीमारियों	_	NOUN	_	_	9	obj	_	_
8	का	_	ADP	_	_	7	case	_	_
9	खतरा	_	VERB	_	_	0	root	_	_
10	होता	_	AUX	_	_	9	aux:pass	_	_
11	है	_	AUX	_	_	10	aux:pass	_	_
12	।	_	PUNCT	_	_	9	punct	_	_

1	इसे	_	DET	_	_	2	det	_	_
2	छोड़ने	_	NOUN	_	_	4	nmod	_	_
3	की	_	ADP	_	_	2	case	_	_
4	पूरी	_	NOUN	_	_	5	compound	_	_
