sentence:wo na sirPa ApakI AzKoM kI roSanI behawara ho sakawI hE।,filename:2.100,case:3,no_of_sibblings:5,no_of_sibblings_not_comp-or-obl:4,p_id:9,p_word:ho,p_pos:VERB,c_id:2,c_word:na,c_pos:PART,gc_id:3,gc_word:para,gc_pos:ADP,gc_rel:mark
sentence:balki Apa newrarogoM se BI bace raheMge।,filename:2.101,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:6,p_word:bace,p_pos:VERB,c_id:3,c_word:newrarogoM,c_pos:NOUN,gc_id:4,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:ki KAne meM vitAmina-sI Ora omegA-3 weloM va kuCa viSeRa pOXoM kI mAwrA baDZAne se AmawOra para aMXepana kA kAraNa banane vAle mowiyAbiMxa va glUkomA jEse rogoM se bacA jA sakawA hE।,filename:2.103,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:14,p_word:baDZAne,p_pos:VERB,c_id:2,c_word:KAne,c_pos:NOUN,gc_id:3,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:ki KAne meM vitAmina-sI Ora omegA-3 weloM va kuCa viSeRa pOXoM kI mAwrA baDZAne se AmawOra para aMXepana kA kAraNa banane vAle mowiyAbiMxa va glUkomA jEse rogoM se bacA jA sakawA hE।,filename:2.103,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:21,p_word:banane,p_pos:VERB,c_id:16,c_word:AmawOra,c_pos:NOUN,gc_id:17,gc_word:para,gc_pos:ADP,gc_rel:case
sentence:ki KAne meM vitAmina-sI Ora omegA-3 weloM va kuCa viSeRa pOXoM kI mAwrA baDZAne se AmawOra para aMXepana kA kAraNa banane vAle mowiyAbiMxa va glUkomA jEse rogoM se bacA jA sakawA hE।,filename:2.103,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:29,p_word:bacA,p_pos:VERB,c_id:27,c_word:rogoM,c_pos:NOUN,gc_id:28,gc_word:se,gc_pos:ADP,gc_rel:case
"sentence:najara weja banI rahe, isake lie Apako cAhie kI apane AhAra meM Apa harI sabjiyAz SAmila kareM।",filename:2.105,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:9,p_word:cAhie,p_pos:VERB,c_id:6,c_word:isake,c_pos:PRON,gc_id:7,gc_word:lie,gc_pos:ADP,gc_rel:case
"sentence:najara weja banI rahe, isake lie Apako cAhie kI apane AhAra meM Apa harI sabjiyAz SAmila kareM।",filename:2.105,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:18,p_word:kareM,p_pos:VERB,c_id:12,c_word:AhAra,c_pos:NOUN,gc_id:13,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:isameM lyUtina, jIjenaWina jEse xo ahama wawva howe hEM, jo najara ko weja banAe raKane ke lie jimmexAra howe hEM।",filename:2.107,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:9,p_word:howe,p_pos:VERB,c_id:1,c_word:isameM,c_pos:PRON,gc_id:13,gc_word:meM,gc_pos:ADP,gc_rel:case
"sentence:isameM lyUtina, jIjenaWina jEse xo ahama wawva howe hEM, jo najara ko weja banAe raKane ke lie jimmexAra howe hEM।",filename:2.107,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:9,p_word:howe,p_pos:VERB,c_id:2,c_word:lyUtina,c_pos:NOUN,gc_id:5,gc_word:jEse,gc_pos:ADP,gc_rel:case
sentence:amerikI neSanala AI iMstItyUta ke 6 sAla ke aXyayana meM yaha sAbiwa huA hE ki yaha wawva bujurgoM ko aMXepana se bacAwe hEM।,filename:2.108,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:13,p_word:huA,p_pos:VERB,c_id:9,c_word:aXyayana,c_pos:NOUN,gc_id:10,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:amerikI neSanala AI iMstItyUta ke 6 sAla ke aXyayana meM yaha sAbiwa huA hE ki yaha wawva bujurgoM ko aMXepana se bacAwe hEM।,filename:2.108,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:22,p_word:bacAwe,p_pos:VERB,c_id:20,c_word:aMXepana,c_pos:NOUN,gc_id:21,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:amerikI neSanala AI iMstItyUta ke 6 sAla ke aXyayana meM yaha sAbiwa huA hE ki yaha wawva bujurgoM ko aMXepana se bacAwe hEM।,filename:2.109,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:3,p_id:13,p_word:huA,p_pos:VERB,c_id:9,c_word:aXyayana,c_pos:NOUN,gc_id:10,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:amerikI neSanala AI iMstItyUta ke 6 sAla ke aXyayana meM yaha sAbiwa huA hE ki yaha wawva bujurgoM ko aMXepana se bacAwe hEM।,filename:2.109,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:22,p_word:bacAwe,p_pos:VERB,c_id:20,c_word:aMXepana,c_pos:NOUN,gc_id:21,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:isase sAzsoM se baxabU Ane lagawI hE।,filename:2.11,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:Ane,p_pos:VERB,c_id:1,c_word:isase,c_pos:PRON,gc_id:21,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:isase sAzsoM se baxabU Ane lagawI hE।,filename:2.11,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:Ane,p_pos:VERB,c_id:2,c_word:sAzsoM,c_pos:NOUN,gc_id:3,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:nASwe meM roja xo yA wIna aMde jarUra KAez।,filename:2.110,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:KAez,p_pos:VERB,c_id:1,c_word:nASwe,c_pos:NOUN,gc_id:2,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:nASwe meM roja xo yA wIna aMde jarUra KAez।,filename:2.110,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:KAez,p_pos:VERB,c_id:3,c_word:roja,c_pos:NOUN,gc_id:2,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:bilabErI yA blEkabErI eMWosAinina aMXepana yA mowiyAbiMxa se bacAwI hE।,filename:2.111,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:9,p_word:bacAwI,p_pos:VERB,c_id:5,c_word:aMXepana,c_pos:NOUN,gc_id:8,gc_word:se,gc_pos:ADP,gc_rel:case
sentence:SoXa meM yaha BI pAyA gayA hE ki yaha AzKoM meM KUna Ora poRaka wawva pahuzcAne vAlI koSikAoM ko majabUwa banAwI hEM।,filename:2.112,case:3,no_of_sibblings:3,no_of_sibblings_not_comp-or-obl:3,p_id:5,p_word:pAyA,p_pos:VERB,c_id:1,c_word:SoXa,c_pos:NOUN,gc_id:2,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:SoXa meM yaha BI pAyA gayA hE ki yaha AzKoM meM KUna Ora poRaka wawva pahuzcAne vAlI koSikAoM ko majabUwa banAwI hEM।,filename:2.112,case:3,no_of_sibblings:2,no_of_sibblings_not_comp-or-obl:2,p_id:16,p_word:pahuzcAne,p_pos:VERB,c_id:10,c_word:AzKoM,c_pos:NOUN,gc_id:11,gc_word:meM,gc_pos:ADP,gc_rel:case
sentence:isalie nASwe yA PrUta salAxa ke sAWa Apa bilabErI yA blEkabErI BI KA sakawe hEM।,filename:2.113,case:3,no_of_sibblings:4,no_of_sibblings_not_comp-or-obl:4,p_id:13,p_word:KA,p_pos:VERB,c_id:1,c_word:isalie,c_pos:PRON,gc_id:11,gc_word:meM,gc_pos:ADP,gc_rel:case
