#################################################################################	#################################################################################
	
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
A1	SAnaxAra/bahuwa_hI_acCA
aa	e_e
AA	e_e
aba	abA
abaca	abAkA
abaci	ginawArA
abacinate	jalawI_salAKoM_se_anXA_kara
aback	cakiwa/pICe/pICe_kI_ora/hawapraBa
abactinal	pqRTIya
abacuses	ginawArA
abacus	ginawArA/SIrRa_Palaka
abacus_noun	ebekasa/ninawArA
Abadan	abAxAna
abalone	karNaSukwi/kanasIpI
abamp	EbeMpa
abampere	EbeMpiyara
abandoned	CodA_huA/unmukwa/ucCqfkala/pariwyakwa
abandoneder	CodA_huA
abandonedest	CodA_huA
abandoning	Coda_xenA
abandonment	pariwyAga/wyAga
abandonments	pariwyAga
abandons	Coda_xenA
abandon	unmukwawA/unmAxa/svacCanxawA/bePikrI/Coda_xe/sOMpa_xe/roka_xe/pariwyAga_kara/KAlI_kara/bahiRkAra_kara
abarticulation	sWAnacyuwi/calasanXiwA
abase	avamAniwa_kara/nIcA_xiKA/apamAniwa_kara
abased	avamAniwa_karanA
abasement	apamAna/xurxaSA/aXogawi
abases	avamAniwa_karanA
abashed	lajjiwa/SarmiMxA
abashedly	lajjiwa_rUpa_se
abash	lajjiwa/SarmiMxA_kara
abashment	safkoca
abasia	gawi-asamarWawA/calana-akRamawA
abasic	calana-akRamawA_sambanXI/calana-akRama
abasing	avamAniwa_karanA
abatable	upaSamanIya/kama_hone_yogya
abated	kama_honA
abate	kama_ho/kama_kara
abatement	kamI/upaSamana/manxI/kama_honA/GatAva
abatements	kamI
abates	kama_honA
abatic	calana-akRamawA_sambanXI/calana-akRama
abating	kama_honA
abatis	JAdabanxI/bAda
abator	upaSAmaka
abattis	JAdabanxI/bAda
abattoirs	vaXaSAlA
abattoir	vaXaSAlA/kasAIKAnA/bUcadaKAnA
abaxial	pqRTIya/apAkRa
abaya	abayA
abbacy	maTAXISAXikArakRewra/maTAXISa_kI_paxAvaXi
abbatial	maTIya/maTAXyakRIya
abbe	Ebe
abbesses	maTAXyakRA
abbess	maTAXyakRA
abbey	IsAiyo_kA_maTa/maTa
abbeys	IsAiyo_kA_maTa
abbot	maTAXyakRa
abbots	maTAXyakRa
#abbrevations:	#abbrevations:
abbreviated	safkRipwa_karanA/safkRipwa/laGu
abbreviate	safkRipwa_kara
abbreviates	safkRipwa_karanA
abbreviating	safkRipwa_karanA
abbreviation	safkRipwi/safkRipwa_rUpa/safkRepaNa
abbreviations	safkRipwi
abbreviator	safkRepakAra/safkRepaka
ABBRThatis	jEse_ki
abcoulomb	ebakUlOMba
ABCs	prAWamika_jFAna
abc	varNamAlA
ABC	varNamAlA/prAWamika_jFAna
Abdias	ebdAyasa
abdicable	wyAjya/pariwyAjya
abdicated	svecCA_se_CodanA
abdicates	svecCA_se_CodanA
abdicate	svecCA_se_Coda/gaxxI_Coda_xe/Coda_xe
abdicating	svecCA_se_CodanA
abdication	paxa_wyAga/rAjawyAga/paxawyAga
abdications	paxa_wyAga
abdicator	wyAga_karane_vAlA/pariwyAga_karane_vAlA
abdomens	uxara
abdomen	uxara/uxara-gahvara/peta
abdominaler	uxara_sambanXI
abdominalest	uxara_sambanXI
abdominally	uxara_sambanXI_rUpa_se
abdominal	uxara_sambanXI/uxarIya/Oxarika/uxara_mAMsapeSI
abdominocentesis	uxaraveXana/uxaraCexana
abdominoplasty	uxarasanXAna
abdominousness	wunxilawA/woMxiyalapana
abdominous	wunxila/woMxiyala
abdominovaginal	uxara-yoni_sambanXI
abdominovesical	uxaramUwrASayika/uxaramUwrASayI
abducens	apavarwanI/apakarRiNI
abducent	apavarwanI/apakarRiNI/apavarwanI/apakarRiNI
abduce	uxXqwa_kara/sAmane_raKa/pramANa_xe
abduct	apaharaNa_kara
abducted	apaharaNa_karanA/apahqwa/agavA
abducting	apaharaNa_karanA/apavarwanI/apakarRiNI
abduction	apaharaNa/apAvarwana
abductions	apaharaNa
abductor	apavarwanI/apAvarwaka/apakarRI/apaharaNakarwA
abducts	apaharaNa_karanA
abdul	abxula
abeam	wiraXA/AdA
abecedarian	varNAnukramika/varNamAlA_sambanXI/prAWamika/prAramBika/varNamAlA-SikRaka/prAramBika_vixyArWI/nOsiKiyA
abecedarius	varNakramyukwa_kaviwA
abed	biswara_para/biCOne_para
Abel	ebala
abele	saPexa_pIpala
abelmosk	ebalamOska
Aberdeen	EbaradIna
aberrance	vipaWawA/paWAnwaraNa
aberrancy	vipaWawA/paWAnwaraNa
aberrant	asAmAnya/vipaWagAmI/paWaBraRta/anEwika/vipaWagAmI
aberranter	asAmAnya
aberrantest	asAmAnya
aberrantly	asAmAnya_rUpa_se
aberrate	vipaWana_kara/diga/Bataka_jA/apasariwa_ho
aberrations	vikAra
aberration	vikAra/xqRti_vipaWana/vipaWawA/paWAnwaraNa/paWaBraRtawA/mawiBraMSa/buxXiBraMSa/asAmAnyawA
abestos	ebestoYsa
abetment	xuruwsAhana/ukasAhata/avapreraNa
abets	ukasAnA
abettal	xuruwsAhana/ukasAhata
abetted	ukasAnA
abetters	ukasAnevAlA
abetter	ukasAnevAlA/xuruwsAhaka/ukasAne_vAlA/avapreraka
abetting	ukasAnA
abettors	ukasAnevAlA
abettor	ukasAnevAlA/xuruwsAhaka/ukasAne_vAlA/avapreraka
abet	ukasA/sahayoga_xe/baDAvA_xe/aparAXa_meM_sahAyaka_ho/ukasA{bure_kAma_ke_lie}
abeyance	alpa_virAma/sWagana/rukAva/prasupwAvasWA/kRaNika_virAma
abeyances	kRaNika_virAma
abeyant	prasupwa
abhasvali	ABAsavalI
abhijeet	aBijIwa
abhilash	aBilARa
abhor	GqNA_kara/naParawa_ho
abhorred	GqNA_karanA
abhorrence	GqNA/naParawa/jugupsA/GqNiwa_vaswu
abhorrences	GqNA
abhorrenter	GqNiwa
abhorrentest	GqNiwa
abhorrent	GqNiwa/kA_viroXI/GqNAspaxa/GinOnA
abhorrently	GqNiwa_rUpa_se
abhorrer	GqNA_karane_vAlA
abhorring	GqNA_karanA
abhors	GqNA_karanA
abidance	pAlana/nivAsa/anurUpawA/anupAlana/anukUlawA
abide-by	bane_rahanA
abided	bane_rahanA
abide	pAlana_kara/sahana_kara/saha/raha/nivAsa_kara/baraxASwa_kara/eka_jagaha_raha
abides	bane_rahanA
abidinger	sWAI
abidingest	sWAI
abiding	sWAI/sWAyI
Abidjan	abijAna
abience	tAla-matola/parihAra
Abies	xevaxAra
abilities	yogyawA
ability	yogyawA/sAmarWya/prawiBA/kRamawA
abinash	avinASa
abiogenesis	ajIvAw_jIvowpawwi/ajIvAw_janana
abiogenetic	ajIvAw_janika
abiogenist	ajIvAw_jIvowpawwivAxI/ajIvAw_jananavAxI
abiotrophy	ajIvIpoRaNa
abject	awi/xIna-hIna/xayanIya/nIcawApUrNa/nIca/BayAnaka/aXama/bahuwa_jyAxA
abjecter	bahuwa_jyAxA
abjectest	bahuwa_jyAxA
abjection	xurxaSA/aXogawi
abjectly	awi/xIna-hIna_Dafga_se
abjuration	SapaWapUrvaka_wyAga/prawyAhAra
abjured	SapaWa_wyAga_karanA
abjurer	wyAjaka
abjure	SapaWa_wyAga_kara/SapaWapUrvaka_wyAga_kara/OpacArika_rUpa_se_wyAga_kara/asvIkAra_kara
abjures	SapaWa_wyAga_karanA
abjuring	SapaWa_wyAga_karanA
AB	kalA_snAwaka
ablactate	xUXa_CudA
ablactation	xUXa_CudAnA/xugXa-sravaNa_virAma/apaswanana
ablate	apakRariwa_ho/apakRaraNa_kara/aMSocCexana_kara
ablated	apakRAriwa
ablation	apakRaraNa/aMSocCexana
ablative	apAxAnI/apAxAna_sambanXI/apakRaraNIya/paFcamI/apAxAna
ablaut	apaSruwi
ablaze	jalA_huA/uwwejiwa/praxIpwa/prajjvaliwa/jalawA_huA/lapatoM_meM
ablazer	jalA_huA
ablazest	jalA_huA
able-bodied	wagadA/samarWAfga/hqRta-puRta
ablepharia	sahajavarwmahInawA
abler	cawura
able	samarWa/yogya/wagadA/samarWAfga/sakRama/prawiBAsampanna/prawiBASAlI/nipuNa/hqRta-puRta/cawura
ablest	cawura
abloom	KilA_huA
ABLS	e_bI_ela_esa
ablutionary	prokRaNa/prakRAlana/apamArjana
ablution	prakRAlana/apamArjana/prakRAlana_jala/apamArjana_jala
ablutions	prakRAlana
ably	samarWa_rUpa_se/kuSalawApUrvaka
abnegate	wyAga/nakAra/Coda_xe/AwmaniReXa_kara
abnegation	niReXa/AwmawyAga/AwmaniReXa/asvIkaraNa
abnegator	AwmaniReXI/AwmaniReXaka
abnormal	asAmAnya/vikqwa/KarAba/asvABAvika/asAXAraNa
abnormalcy	asAmAnyawA/apasAmAnyawA
abnormaler	asAmAnya
abnormalest	asAmAnya
abnormality	asAmanyawA/sanakIpana/nyUnamanaskawA/apasAmAnyawA/aniyamiwawA
abnormally	asAmAnya_rUpa_se/asvABAvika_Dafga_se/asAXAraNa_rUpa_se
aboarder	para_savAra
aboardest	para_savAra
aboard	savAra/xala_meM/samUha_meM/ke_pAsa/para_savAra
abocclusion	ebOklUjana
abode	AvAsa/nivAsa-sWAna/Gara/derA
abodes	AvAsa
abohm	ebOma
abolishable	unmUlanIya/mitA_xene_yogya
abolished	unmUlana_karanA
abolisher	unmUlaka/samApanakarwA
abolishes	unmUlana_karanA
abolishing	unmUlana_karanA
abolishment	unmUlana/samApana
abolish	unmUlana_kara/mitA_xe/hatA/unmUlana_kara[honA]
abolitionary	unmUlanavAxI
abolitionism	xAsawA_unmUlana_Anxolana
abolitionist	unmUlanavAxa/xAsawA-viroXI/unmUlanavAxI
abolitions	unmUlana
abolition	unmUlana/samApana
abomasal	cawurWa_AmASaya_sambanXI
abomasum	cawurWa_AmASaya
abominable	GqNiwa/nqSaMsa/KarAba/GatiyA/BaxxA
abominablely	GqNiwa_rUpa_se
abominabler	GqNiwa
abominablest	GqNiwa
abominably	burI_waraha_se/bekAra_Dafga_se
abominate	nApasanxa_kara/bahuwa_naParawa_kara
abomination	GqNA/naParawa/jugupsAjanaka_kArya/jugupsA/GqNiwa_vyakwi/GqNAspAxa_bAwa
abominations	GqNA
abominator	jugupsaka/GqNA_karane_vAlA
Abo	oYstreliyAI_AxivAsI
aboral	apamuKI
Abor	ebOra
aboriginal	Axima/AxivAsI/AxikAlIna
aboriginaler	Axima
aboriginalest	Axima
aboriginally	Axima_rUpa_se
Aboriginal	oYstreliyAI_AxivAsiyoM_kA/oYstreliyAI_AxivAsI
Aborigine	oYstreliyAI_AxivAsI/mUla_nivAsI
aborigine	prAcIna_xeSavAsI
aborigines	prAcIna_xeSavAsI/Axima_vanaspawi_waWA_prANI
abort	avaruxXa_kara/samApana/raxxa_kara/girA/garBapAwa_karA/garBapAwa_ho/garBa_girA/banxa_kara_xe/avarXiwa_ho/Coda_xe{aXUrA}
aborted	Coda_xenA
aborticide	garBapAwa/garBanASaka_xavA/garBanASaka
abortifacient	garBanASI/garBanASaka/garBanASaka_xavA/garBanASaka
aborting	Coda_xenA
abortionist	garBapAwa_karavAne_vAlA/garBapAwa_karAnevAlA/garBapAwaka
abortionists	garBapAwa_karavAne_vAlA
abortion	niRPala/garBapAwa
abortions	garBapAwa
abortively	niRPala_rUpa_se
abortive	niRPala/aXUrA/asaPala/apUrNa_rUpa_se_vikasiwa
abortiver	niRPala
abortivest	niRPala
abort_noun	viPalana
aborts	Coda_xenA
abortus	niRkAsiwa_BrUNa
aboulia	safkalpa-akRamawA/icCAxOrbalya
aboulic	safkalpa-akRamawAgraswa/icCAxOrbalyagraswa
aboundant	awiSaya
abound	bahuwAyAwa_se_ho/PatA_pada/kAPI_ho/bahuwa_PElA_ho/bahuwa_ho
abounded	bahuwAyAwa_se_honA
abounding	bahuwAyAwa_se_honA/pracura/BarapUra
abounds	bahuwAyAwa_se_honA
abouter	iXara_uXara
aboutest	iXara_uXara
about-face	pUrA_palatanA/pICe_mudanA/mawa-parivarwana/pUrA_palata/pICe_muda/mawa-parivarwana_kara
about	PElA_huA/calawA-PirawA/cAro_ora/yahAz-vahAz/pICe/pAsa/lagaBaga/kramAnusAra/jahAz-wahAz/iXara-uXara/iwaswawaH/cArOM_waraPa/cAroM_ora/Asa-pAsa/iXara_uXara/bahuwa_ho_gayA/ke_bAre_meM/Asa_pAsa
about-turned	palatanA
about-turning	palatanA
about-turn	palata/pUrNa_parivarwana/palatanA
about-turns	palatanA
aboveboard	saccA/niRkapata/KullamaKullA/ImAnaxArI_se
aboveground	BU-sawaha_kA/BUmi_ke_Upara_kA
above-mentioned	uparyukwa/Upara_ulliKiwa
above-named	uparyukwa/Upara_ulliKiwa
abover	Upara
abovest	Upara
above	uparyukwa/Upara_kahA_huA/Upara_kA/UzcA/Upara/se_Upara/ke_Upara/isase_Upara/Upara/Upara
Ab	oYba
abracadabra	jAxU_kA_manwra/CU_manwara_kAlI_kalanwara
abracadabras	jAxU_kA_manwra
abrachia	sahaja_apragaNdawA/janmajAwa_bAhuhInawA
abradant	apaGarRI_yanwra/apaGarRaka
abraded	GisanA
abrade	Gisa/ragada_kara_sAPa_kara
abrader	apaGarRI_yanwra
abrades	GisanA
abrading	GisanA
Abraham	abrAhama
abranchial	galaPadArahiwa/akloma
abranchiate	galaPadArahiwa/akloma
abranchious	galaPadArahiwa/akloma
abrase	ragada_kara_sAPa_kara/Gisa/Gisa_jA
abrasion	ragada/KaroMca/GisAI/apaGarRaNa
abrasions	ragada
abrasive	cota_pahuzcAne_vAlA/saKwa/KuraxarA/kaTora/karkaSa/apaGarRI/apaGarRaka/pIsane_yA_ragadane_kI_vaswu
abrasively	ragada_ke/karkaSawA_se
abrasiveness	burA_vyavahAra/KuraxarApana/karkaSawA
abrasiver	pIsane_yA_ragadane_kI_vaswu
abrasives	pIsane_yA_ragadane_kI_vaswu
abrasivest	pIsane_yA_ragadane_kI_vaswu
abreact	BAva-virecana_kara
abreaction	BAva-virecana
abreaster	barAbara_meM
abreastest	barAbara_meM
abreast	ke_prawi_sacewa/ke_prawi_hoSiyAra/barAbara_meM/sAWa-sAWa/agala-bagala_meM
abridgedly	safkRipwa_rUpa_se
abridged	safkRipwa
abridgement	safkRepaNa
abridger	safkRepakAra/safkRepaka
abridge	safkRipwa_kara/kama_kara/GatA/safkRepaNa_kara
abridges	safkRepaNa_karanA
abridging	safkRepaNa_karanA
abridgment	safkRepaNa
abroach	uwwejiwa/sakriya/KulA
abroader	pracaliwa
abroadest	pracaliwa
abroad	vixeSI/bAharI/vixeSa_meM/Gara_ke_bAhara/cAroM_ora_PElA_huA/pracaliwa
abrocome	ebrokoma
abrogated	raxxa_karanA
abrogate	raxxa_kara/niraswa_kara
abrogates	raxxa_karanA
abrogating	raxxa_karanA
abrogation	nirAkaraNa/raxxa_karanA/nirasana
abrogations	nirAkaraNa
abrogator	nirAkarwA
abrupt	Akasmika/xurAroha/uKadA-uKadA/rUKA/KadA/ekAeka/aSiRta/asafgawa/asambaxXa/aprawyASiwa
abrupter	rUKA
abruptest	rUKA
abruption	avaKaNdana
abruptly	Akasmika_rUpa_se/rUKepana_se/aSiRtawA_se/acAnaka_hI/acAnaka
abruptly-pinnate	pakRAkAra
abruptness	AkasmikawA/xurArohawA/uwAvalApana/rUKApana/ruKAI/hadabadI
abruptnesses	AkasmikawA
Abruzzi	abrUjI
abscessed	PodA
abscesses	PodA
abscessing	PodA
abscess	PodA
abscissa	Buja
abscission	vigalana/apacCexana
absconded	ParAra_honA
absconder	ParArI/palAyanakarwA
absconding	ParAra_honA
abscondment	ParAra_honA/palAyana
abscond	ParAra_ho/ParAra_ho_jA
absconds	ParAra_honA
ABS	Ebsa
abseiler	xoharI_rassI_ke_sahAre_uwarane_vAlA/rajju-ArohaNakarwA
abseil	rajju-ArohaNa/xoharI_rassI_ke_sahAre_uwara/rajju-ArohaNa_kara
absence	anupasWiwi/mqxu_apasmAra/gErahAjirI/aBAva
absences	anupasWiwi
absent	anupasWiwa/nahIM/KoyA-KoyA/gErahAjira/anupasWiwa_ho
absented	anupasWiwa_honA
absentee	anupasWiwa_jana/gErahAjira/anupasWiwa
absenteeism	bArambAra_kI_anupasWiwi/anupasWiwi/anupasWiwawA
absentees	anupasWiwa_jana
absenter	anupasWiwa_honA
absentest	anupasWiwa_honA
absenting	anupasWiwa_honA
absently	anupasWiwa_rUpa_se/anamane_BAva_se
absent-minded	Bulakkada/anamanA/KoyA-KoyA
absent-mindeder	KoyA-KoyA
absentmindeder	KoyA-KoyA
absent-mindedest	KoyA-KoyA
absentmindedest	KoyA-KoyA
absentminded	KoyA-KoyA
absent-mindedly	Bulakkadapana_se/anamanApana_se
absent-mindedness	Bulakkadapa/Bulakkadapana/anamanApana
absentmindedness	BulakkadapanA/anyamanaskawA
absent-mindednesses	BulakkadapanA
absentmindednesses	BulakkadapanA
absents	anupasWiwa_honA
absinth	cirAyawA/aPasanwIna
absinthe	cirAyawA/aPasanwIna
absolutely	pUrNawaH/pUrNawayA/pUrI_waraha_se/ekaxama/bilkula/bahuwa_hI/abAXa_rUpa_se
absolute-majority	pUrNa_bahumawa
absoluteness	xqDawA/suniSciwawA/sampUrNawA
absolute	pUrNawayA/suniSciwa/pUrNa/pUrA/parama/nirafkuSa/asIma/parama_wawwva/parama_sixXAnwa
absoluter	parama_sixXAnwa
absolutes	parama_sixXAnwa
absolutest	parama_sixXAnwa
absolution	kRamAxAna/pApamukwi/pApakRamA/nirmukwi
absolutions	kRamAxAna
absolutism	nirafkuSawA/wAnASAhI/svecCAcAriwAvAxa/parama_wawvavAxa/nirafkuSawAvAxa/{rAjanIwi_sambanXI}nirafkuSawA
absolutisms	nirafkuSawA
absolutistic	svecCAcAriwAvAxI/nirafkuSavAxI
